dep;nb_accidents;nb_accidents_log;population;ratio_accidents_pop;ratio_log
01;382;5.948034989180646;686804.0;0.5561994397237058;0.44224659217216483
02;253;5.537334267018537;536985.0;0.4711491009990968;0.38604379678119477
03;235;5.4638318050256105;343338.0;0.6844567161223052;0.5214430881483516
04;193;5.267858159063328;171621.0;1.1245710023831583;0.7535699007641664
05;201;5.308267697401205;145993.0;1.3767783386874712;0.8657459314792716
06;835;6.728628613084702;1128455.0;0.7399497543100966;0.553856235976216
07;276;5.6240175061873385;341709.0;0.8077048014538687;0.5920579751072583
08;106;4.672828834461906;273109.0;0.38812342324859306;0.3279527797801596
09;127;4.852030263919617;159309.0;0.7971928767364054;0.5862259346718517
10;383;5.950642552587727;317888.0;1.2048268572579022;0.7906489830302021
11;361;5.891644211825771;386066.0;0.9350732776261054;0.6601451953389256
12;191;5.2574953720277815;289781.0;0.6591184377167586;0.5062863996888768
13;2057;7.629489916393995;2093958.0;0.9823501713023851;0.6842830960352646
14;482;6.180016653652572;718172.0;0.6711484156998602;0.5135110641609653
15;168;5.1298987149230735;149242.0;1.1256884791144584;0.7540957400744079
16;128;4.859812404361672;360259.0;0.3552999369897768;0.30402278554811574
17;414;6.028278520230698;683710.0;0.6055198841614134;0.47344761949808967
18;177;5.181783550292085;306254.0;0.5779516349174215;0.45612757234524204
19;203;5.318119993844216;247619.0;0.819807849963048;0.598730918571686
21;242;5.493061443340548;549018.0;0.4407870051619437;0.36518949565649844
22;511;6.238324625039508;627182.0;0.8147555255093418;0.5959507619553326
23;44;3.8066624897703196;118874.0;0.37013981190167744;0.3149127871160094
24;196;5.2832037287379885;426445.0;0.45961378372357514;0.37817186902938293
25;376;5.932245187448011;562072.0;0.6689534436869298;0.5121967495554198
26;293;5.683579767338681;534077.0;0.5486100318867878;0.4373577749856576
27;450;6.111467339502679;614731.0;0.7320275047134438;0.5492926903336928
28;280;5.638354669333745;442835.0;0.632289679000079;0.48998374017806623
29;711;6.568077911411976;952351.0;0.7465734797359377;0.5576558569453912
2A;286;5.659482215759621;168376.0;1.6985793699814702;0.9927254752738008
2B;346;5.849324779946859;187843.0;1.841963767614444;1.0444952806895045
30;429;6.063785208687608;777323.0;0.5518941289528292;0.43947620355330896
31;535;6.284134161070802;1479413.0;0.361629916730487;0.30868245034242975
32;126;4.844187086458591;198988.0;0.6332040123022493;0.4905437371723951
33;1189;7.0817085861055755;1701107.0;0.6989566206005854;0.5300143100510591
34;659;6.492239835020471;1235457.0;0.5334058571038895;0.42749131181965155
35;731;6.595780513961311;1133863.0;0.6446986981672389;0.49755720523272395
36;115;4.7535901911063645;222400.0;0.5170863309352518;0.4167916077354406
37;585;6.373319789577012;628358.0;0.9309979342986004;0.6580369336884776
38;652;6.481577129276431;1316153.0;0.49538313554731095;0.40238245196713096
39;157;5.062595033026967;267295.0;0.5873660188181596;0.4620760506281722
40;170;5.14166355650266;440615.0;0.3858243591343917;0.3262951677261574
41;210;5.351858133476067;337416.0;0.6223771249733268;0.483892434816639
42;379;5.940171252720432;785855.0;0.48227726488983336;0.39357959769478357
43;213;5.365976015021851;234921.0;0.9066877801473687;0.6453675901661508
44;688;6.535241271013659;1502050.0;0.4580406777404214;0.37709353288206576
45;443;6.095824562432225;701560.0;0.6314499116255202;0.4894691357681415
46;125;4.836281906951478;181023.0;0.6905199891726466;0.525036167510357
47;255;5.545177444479562;340185.0;0.7495921336919616;0.559382694309478
48;70;4.2626798770413155;80049.0;0.8744643905607815;0.6283229602466678
49;712;6.569481420414296;848029.0;0.8395939289812023;0.6095448564940169
50;424;6.052089168924417;511634.0;0.828717403456377;0.6036148486992182
51;558;6.326149473155099;575111.0;0.9702474826598692;0.6781591605753173
52;111;4.718498871295094;174637.0;0.635604138870915;0.49201223999604793
53;130;4.875197323201151;314524.0;0.4133229896605664;0.34594366191258363
54;602;6.401917196727186;744052.0;0.8090832361179058;0.5928202175812205
55;111;4.718498871295094;185753.0;0.5975677378023505;0.46848230875078545
56;533;6.280395838960195;797092.0;0.6686806541779368;0.5120332867541649
57;351;5.863631175598097;1068619.0;0.32846131315277005;0.28402136509576287
58;193;5.267858159063328;207295.0;0.9310403048795195;0.6580588757710241
59;1004;6.912742820493176;2646988.0;0.3792990372453521;0.3215754260967388
60;517;6.249975242259483;848010.0;0.6096626219030435;0.4760246054243482
61;236;5.4680601411351315;283434.0;0.8326453424783195;0.6057604654006583
62;614;6.421622267806518;1481487.0;0.4144484561795007;0.34673967149109297
63;529;6.272877006546167;678623.0;0.7795197038709268;0.576343498607526
64;879;6.779921907472252;718206.0;1.223882841413188;0.7992546957800482
65;218;5.389071729816501;237183.0;0.9191215222001576;0.6518675408153363
66;378;5.937536205082426;501001.0;0.754489511996982;0.5621779382501008
67;608;6.411818267709897;1172296.0;0.518640343394501;0.4178154236198764
68;367;5.908082938168931;781443.0;0.46964397915139044;0.3850201804041796
